hhcode,Province,Region,PSU,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
1111200201,Khyber Pakhtunkhwa,Rural,11112002,No,No,No,No,No,No,No,No
1111200202,Khyber Pakhtunkhwa,Rural,11112002,No,No,No,No,No,No,No,No
1111200203,Khyber Pakhtunkhwa,Rural,11112002,No,No,No,Yes,Yes,No,98,No
1111200204,Khyber Pakhtunkhwa,Rural,11112002,No,No,No,No,No,No,No,No
1111200205,Khyber Pakhtunkhwa,Rural,11112002,Yes,No,No,Yes,Yes,Yes,Yes,No
1111200206,Khyber Pakhtunkhwa,Rural,11112002,No,No,No,No,No,No,No,No
1111200207,Khyber Pakhtunkhwa,Rural,11112002,Yes,Yes,Yes,No,Yes,No,No,No
1111200208,Khyber Pakhtunkhwa,Rural,11112002,No,No,No,No,No,No,No,No
1111200209,Khyber Pakhtunkhwa,Rural,11112002,No,No,No,No,No,No,No,No
1111200211,Khyber Pakhtunkhwa,Rural,11112002,No,No,No,No,No,No,No,No
1111200212,Khyber Pakhtunkhwa,Rural,11112002,Yes,Yes,Yes,Yes,No,No,98,Yes
1111200213,Khyber Pakhtunkhwa,Rural,11112002,No,No,No,No,No,No,No,No
1111200214,Khyber Pakhtunkhwa,Rural,11112002,No,No,No,No,No,No,No,No
1111200215,Khyber Pakhtunkhwa,Rural,11112002,Yes,Yes,No,No,No,No,No,No
1111200216,Khyber Pakhtunkhwa,Rural,11112002,Yes,Yes,Yes,Yes,No,No,No,No
1111300301,Khyber Pakhtunkhwa,Rural,11113003,No,No,No,No,No,No,No,No
1111300302,Khyber Pakhtunkhwa,Rural,11113003,No,No,No,No,No,No,No,No
1111300303,Khyber Pakhtunkhwa,Rural,11113003,No,No,No,No,No,No,No,No
1111300304,Khyber Pakhtunkhwa,Rural,11113003,No,No,No,No,No,No,No,No
1111300305,Khyber Pakhtunkhwa,Rural,11113003,No,No,No,No,No,No,No,No
1111300306,Khyber Pakhtunkhwa,Rural,11113003,No,No,No,No,No,No,No,No
1111300307,Khyber Pakhtunkhwa,Rural,11113003,No,No,No,No,No,No,No,No
1111300308,Khyber Pakhtunkhwa,Rural,11113003,Yes,Yes,No,No,No,No,No,No
1111300309,Khyber Pakhtunkhwa,Rural,11113003,No,No,No,No,No,No,No,No
1111300310,Khyber Pakhtunkhwa,Rural,11113003,No,No,No,No,No,No,No,No
1111300311,Khyber Pakhtunkhwa,Rural,11113003,No,No,No,No,No,No,No,No
1111300312,Khyber Pakhtunkhwa,Rural,11113003,No,No,No,No,No,No,No,No
1111300313,Khyber Pakhtunkhwa,Rural,11113003,No,No,No,No,No,No,No,No
1111300314,Khyber Pakhtunkhwa,Rural,11113003,No,No,No,No,No,No,No,No
1111300315,Khyber Pakhtunkhwa,Rural,11113003,No,No,No,No,No,No,No,No
1111300316,Khyber Pakhtunkhwa,Rural,11113003,No,No,No,No,No,No,No,No
1111400401,Khyber Pakhtunkhwa,Rural,11114004,No,No,No,No,No,No,No,No
1111400402,Khyber Pakhtunkhwa,Rural,11114004,No,No,No,No,No,No,No,No
1111400403,Khyber Pakhtunkhwa,Rural,11114004,No,Yes,No,No,98,98,98,98
1111400404,Khyber Pakhtunkhwa,Rural,11114004,Yes,Yes,No,No,No,No,No,No
1111400405,Khyber Pakhtunkhwa,Rural,11114004,No,No,No,No,No,No,No,No
1111400406,Khyber Pakhtunkhwa,Rural,11114004,Yes,Yes,No,No,No,No,No,No
1111400407,Khyber Pakhtunkhwa,Rural,11114004,Yes,Yes,No,No,No,98,No,No
1111400408,Khyber Pakhtunkhwa,Rural,11114004,No,No,No,No,No,No,No,No
1111400409,Khyber Pakhtunkhwa,Rural,11114004,No,No,No,No,No,No,No,No
1111400410,Khyber Pakhtunkhwa,Rural,11114004,Yes,Yes,No,No,98,No,No,No
1111400411,Khyber Pakhtunkhwa,Rural,11114004,Yes,Yes,No,No,No,No,No,No
1111400412,Khyber Pakhtunkhwa,Rural,11114004,No,No,No,No,No,No,No,No
1111400413,Khyber Pakhtunkhwa,Rural,11114004,No,No,No,No,No,No,No,No
1111400414,Khyber Pakhtunkhwa,Rural,11114004,No,No,No,No,No,No,No,No
1111400415,Khyber Pakhtunkhwa,Rural,11114004,No,No,No,No,No,No,No,No
1111400416,Khyber Pakhtunkhwa,Rural,11114004,No,No,No,No,No,No,No,No
1121100401,Khyber Pakhtunkhwa,Rural,11211004,No,No,No,No,No,No,No,No
1121100402,Khyber Pakhtunkhwa,Rural,11211004,No,No,No,No,No,No,No,No
1121100403,Khyber Pakhtunkhwa,Rural,11211004,No,No,No,No,No,No,No,No
1121100404,Khyber Pakhtunkhwa,Rural,11211004,No,No,No,No,No,No,No,No
1121100405,Khyber Pakhtunkhwa,Rural,11211004,Yes,Yes,Yes,99,99,Yes,99,99
1121100406,Khyber Pakhtunkhwa,Rural,11211004,Yes,Yes,Yes,No,No,No,No,No
1121100407,Khyber Pakhtunkhwa,Rural,11211004,No,No,No,No,No,No,No,No
1121100408,Khyber Pakhtunkhwa,Rural,11211004,Yes,Yes,Yes,No,No,No,No,No
1121100409,Khyber Pakhtunkhwa,Rural,11211004,Yes,Yes,Yes,No,Yes,No,No,No
1121100410,Khyber Pakhtunkhwa,Rural,11211004,No,No,No,No,No,No,No,No
1121100411,Khyber Pakhtunkhwa,Rural,11211004,No,Yes,Yes,No,Yes,No,No,No
1121100412,Khyber Pakhtunkhwa,Rural,11211004,Yes,Yes,Yes,No,Yes,No,No,No
1121100413,Khyber Pakhtunkhwa,Rural,11211004,No,No,No,No,No,No,No,No
1121100414,Khyber Pakhtunkhwa,Rural,11211004,No,No,No,No,No,No,No,No
1121100415,Khyber Pakhtunkhwa,Rural,11211004,No,No,No,No,No,No,No,No
1121100416,Khyber Pakhtunkhwa,Rural,11211004,Yes,Yes,Yes,No,No,No,No,No
1121100801,Khyber Pakhtunkhwa,Rural,11211008,No,No,No,No,No,No,No,No
1121100802,Khyber Pakhtunkhwa,Rural,11211008,No,No,No,No,No,No,No,No
1121100803,Khyber Pakhtunkhwa,Rural,11211008,No,No,No,No,No,No,No,No
1121100804,Khyber Pakhtunkhwa,Rural,11211008,No,No,No,No,No,No,No,No
1121100805,Khyber Pakhtunkhwa,Rural,11211008,Yes,Yes,Yes,No,Yes,No,No,No
1121100806,Khyber Pakhtunkhwa,Rural,11211008,No,No,No,No,No,No,No,No
1121100807,Khyber Pakhtunkhwa,Rural,11211008,Yes,Yes,Yes,No,No,No,No,No
1121100808,Khyber Pakhtunkhwa,Rural,11211008,Yes,Yes,Yes,No,Yes,No,No,No
1121100809,Khyber Pakhtunkhwa,Rural,11211008,No,No,No,No,No,No,No,No
1121100810,Khyber Pakhtunkhwa,Rural,11211008,Yes,Yes,Yes,No,No,No,No,No
1121100811,Khyber Pakhtunkhwa,Rural,11211008,No,No,No,No,No,No,No,No
